Kwality Wall's Swirl's,24056,Hatibagan
Santosh's Bakery,17983791,Hatibagan
The Scoop,24826,Hatibagan
Tea Junction,18368693,Hatibagan
Bharat Biryani,18840196,Hatibagan
Daruchini Restaurant,18643563,Khardah
Mio Amore,25298,Khardah
Maa Bhabatarini Sweets,18658212,Khardah
WFC (Wow Fried Chicken),18542054,Khardah
Spice and Ice,18811938,Khardah
Ritu's CAKE SHOPPE,18638364,Khardah
TIME PASS,18677971,Khardah
The Brunch Box,18717271,Khardah
Penguin Inn,23113,Khardah
Big Bong,18801847,Khardah
Raj Restaurant,18530158,Khardah
Aahar Caterer & Aahar Home Service,18821916,Khardah
Z Momos,18778439,Khardah
Southern Spice,18805882,Khardah
Aunty's Kitchen,18697056,Khardah
Dishant Restaurant,18642234,Khardah
Sunday Snacks,18649369,Khardah
Bell Pepper,18858524,Khardah
The Sugarr & Spice,18128525,Khardah
Park Restsurant,18626087,Khardah
BFC,18559166,Khardah
Silver Spoon Club,24211,Khardah
Royal Bengal Dhaba,18469577,Khardah
Kathleen,23061,Khardah
Mio Amore,25286,Machuabazar
Khuro Mahashay,23679,Machuabazar
Kapila Ashram,24301,Machuabazar
@49,18017618,Maniktala
The Insta Cafe,18800899,Maniktala
New Paul Dhaba Veggie Hub,18217465,Maniktala
Roy's Jukebox Cafe,18777939,Maniktala
Halal Fried Chicken,18537638,Maniktala
New Paul Dhaba,21288,Maniktala
Vanakkam,24694,Maniktala
Aashirwad,18833898,Maniktala
Lord Fast Food Center,25196,Maniktala
Yo! Noodles,18750754,Maniktala
Eats N Treats,18570337,Maniktala
New Khana Khazana,20703,Maniktala
Nepal Chandra Halwai,23671,Maniktala
Pabrai's Fresh & Naturelle Ice cream,18724000,Maniktala
Appetizer,18737898,Maniktala
Sri Krishna Mistanna Bhander,18352365,Maniktala
Swad Restaurant,24295,Maniktala
Delicious Dezires,18617115,Maniktala
Layers,18461773,Maniktala
New Chanchala,17983766,Maniktala
Bhojan Spicy Hotel,18649984,Maniktala
Just Bakes,18676001,Maniktala
MOM - Magic of Mummy,18674912,Maniktala
Nandalals Sweets,18368645,Maniktala
Cafe Corner,21297,Maniktala
Hungry Owl,18710686,Maniktala
Cream Creations,18713017,Maniktala
Mio Amore,25249,Maniktala
Hygienic Food Cabin,25241,Maniktala
